ds,holiday,country,year
11/11/2006,Armistice 1918,FR,2006
01/01/2007,Jour de l'an,FR,2007
09/04/2007,Lundi de Paques,FR,2007
01/05/2007,Fete du Travail,FR,2007
08/05/2007,Armistice 1945,FR,2007
17/05/2007,Ascension,FR,2007
28/05/2007,Lundi de Pentecote,FR,2007
14/07/2007,Fete nationale,FR,2007
15/08/2007,Assomption,FR,2007
01/11/2007,Toussaint,FR,2007
11/11/2007,Armistice 1918,FR,2007
01/01/2008,Jour de l'an,FR,2008
24/03/2008,Lundi de Paques,FR,2008
01/05/2008,Ascension,FR,2008
01/05/2008,Fete du Travail,FR,2008
08/05/2008,Armistice 1945,FR,2008
12/05/2008,Lundi de Pentecote,FR,2008
14/07/2008,Fete nationale,FR,2008
15/08/2008,Assomption,FR,2008
01/11/2008,Toussaint,FR,2008
11/11/2008,Armistice 1918,FR,2008
01/01/2009,Jour de l'an,FR,2009
13/04/2009,Lundi de Paques,FR,2009
01/05/2009,Fete du Travail,FR,2009
08/05/2009,Armistice 1945,FR,2009
21/05/2009,Ascension,FR,2009
01/06/2009,Lundi de Pentecote,FR,2009
14/07/2009,Fete nationale,FR,2009
15/08/2009,Assomption,FR,2009
01/11/2009,Toussaint,FR,2009
11/11/2009,Armistice 1918,FR,2009
01/01/2010,Jour de l'an,FR,2010
05/04/2010,Lundi de Paques,FR,2010
01/05/2010,Fete du Travail,FR,2010
08/05/2010,Armistice 1945,FR,2010
13/05/2010,Ascension,FR,2010
24/05/2010,Lundi de Pentecote,FR,2010
14/07/2010,Fete nationale,FR,2010
15/08/2010,Assomption,FR,2010
01/11/2010,Toussaint,FR,2010
11/11/2010,Armistice 1918,FR,2010
01/01/2011,Jour de l'an,FR,2011
25/04/2011,Lundi de Paques,FR,2011
01/05/2011,Fete du Travail,FR,2011
08/05/2011,Armistice 1945,FR,2011
02/06/2011,Ascension,FR,2011
13/06/2011,Lundi de Pentecote,FR,2011
14/07/2011,Fete nationale,FR,2011
15/08/2011,Assomption,FR,2011
01/11/2011,Toussaint,FR,2011
11/11/2011,Armistice 1918,FR,2011
01/01/2012,Jour de l'an,FR,2012
09/04/2012,Lundi de Paques,FR,2012
01/05/2012,Fete du Travail,FR,2012
08/05/2012,Armistice 1945,FR,2012
17/05/2012,Ascension,FR,2012
28/05/2012,Lundi de Pentecote,FR,2012
14/07/2012,Fete nationale,FR,2012
15/08/2012,Assomption,FR,2012
01/11/2012,Toussaint,FR,2012
11/11/2012,Armistice 1918,FR,2012
01/01/2013,Jour de l'an,FR,2013
01/04/2013,Lundi de Paques,FR,2013
01/05/2013,Fete du Travail,FR,2013
08/05/2013,Armistice 1945,FR,2013
09/05/2013,Ascension,FR,2013
20/05/2013,Lundi de Pentecote,FR,2013
14/07/2013,Fete nationale,FR,2013
15/08/2013,Assomption,FR,2013
01/11/2013,Toussaint,FR,2013
11/11/2013,Armistice 1918,FR,2013
01/01/2014,Jour de l'an,FR,2014
21/04/2014,Lundi de Paques,FR,2014
01/05/2014,Fete du Travail,FR,2014
08/05/2014,Armistice 1945,FR,2014
29/05/2014,Ascension,FR,2014
09/06/2014,Lundi de Pentecote,FR,2014
14/07/2014,Fete nationale,FR,2014
15/08/2014,Assomption,FR,2014
01/11/2014,Toussaint,FR,2014
11/11/2014,Armistice 1918,FR,2014
01/01/2015,Jour de l'an,FR,2015
06/04/2015,Lundi de Paques,FR,2015
01/05/2015,Fete du Travail,FR,2015
08/05/2015,Armistice 1945,FR,2015
14/05/2015,Ascension,FR,2015
25/05/2015,Lundi de Pentecote,FR,2015
14/07/2015,Fete nationale,FR,2015
15/08/2015,Assomption,FR,2015
01/11/2015,Toussaint,FR,2015
11/11/2015,Armistice 1918,FR,2015
01/01/2016,Jour de l'an,FR,2016
28/03/2016,Lundi de Paques,FR,2016
01/05/2016,Fete du Travail,FR,2016
05/05/2016,Ascension,FR,2016
08/05/2016,Armistice 1945,FR,2016
16/05/2016,Lundi de Pentecote,FR,2016
14/07/2016,Fete nationale,FR,2016
15/08/2016,Assomption,FR,2016
01/11/2016,Toussaint,FR,2016
11/11/2016,Armistice 1918,FR,2016
01/01/2017,Jour de l'an,FR,2017
17/04/2017,Lundi de Paques,FR,2017
01/05/2017,Fete du Travail,FR,2017
08/05/2017,Armistice 1945,FR,2017
25/05/2017,Ascension,FR,2017
05/06/2017,Lundi de Pentecote,FR,2017
14/07/2017,Fete nationale,FR,2017
15/08/2017,Assomption,FR,2017
01/11/2017,Toussaint,FR,2017
11/11/2017,Armistice 1918,FR,2017
01/01/2018,Jour de l'an,FR,2018
02/04/2018,Lundi de Paques,FR,2018
01/05/2018,Fete du Travail,FR,2018
08/05/2018,Armistice 1945,FR,2018
10/05/2018,Ascension,FR,2018
21/05/2018,Lundi de Pentecote,FR,2018
14/07/2018,Fete nationale,FR,2018
15/08/2018,Assomption,FR,2018
01/11/2018,Toussaint,FR,2018
11/11/2018,Armistice 1918,FR,2018
01/01/2019,Jour de l'an,FR,2019
22/04/2019,Lundi de Paques,FR,2019
01/05/2019,Fete du Travail,FR,2019
08/05/2019,Armistice 1945,FR,2019
30/05/2019,Ascension,FR,2019
10/06/2019,Lundi de Pentecote,FR,2019
14/07/2019,Fete nationale,FR,2019
15/08/2019,Assomption,FR,2019
01/11/2019,Toussaint,FR,2019
11/11/2019,Armistice 1918,FR,2019
01/01/2020,Jour de l'an,FR,2020
13/04/2020,Lundi de Paques,FR,2020
01/05/2020,Fete du Travail,FR,2020
08/05/2020,Armistice 1945,FR,2020
21/05/2020,Ascension,FR,2020
01/06/2020,Lundi de Pentecote,FR,2020
14/07/2020,Fete nationale,FR,2020
15/08/2020,Assomption,FR,2020
01/11/2020,Toussaint,FR,2020
11/11/2020,Armistice 1918,FR,2020
01/01/2021,Jour de l'an,FR,2021
05/04/2021,Lundi de Paques,FR,2021
